% 1. Title: Hamburger Toppings Data
%
% 2. Sources: 
%	(a) Survery link: https://forms.gle/THXTrF8uoXpWk6Ad8
%	(b) Google Survey's was used for data collection.
%
% 3. Information about the survey
%	(a) The survey will continue to remain live. Data
%	    can be added at any time.
%	(b) Survey responses occured from 9/20/2020 21:11:47 to 10/3/2020 12:24:47.
%	(c) The survey had a list of ingredients and an 'other'
%	    option for ingredients that were not listed.
%
% 4. Cleaning done in the python file
%	(a) Cleaning done in the python file removes ingredients
%	    that were either not actual ingredients or repeats of
%	    other ingredients, including:
%		(i) Extra of an ingredient
%		(ii) Mention of burger patty (The survey said the
%		     burger would start with a patty on a bun)
%		(iii) Personal notes, such as 'This is {name}'s burger.'

@RELATION Hamburger

@ATTRIBUTE 'Cheese' BINARY
@ATTRIBUTE 'Lettuce' BINARY
@ATTRIBUTE 'Tomato' BINARY
@ATTRIBUTE 'Pickles' BINARY
@ATTRIBUTE 'Onions' BINARY
@ATTRIBUTE 'Avacado' BINARY
@ATTRIBUTE 'Bacon' BINARY
@ATTRIBUTE 'Mushrooms' BINARY
@ATTRIBUTE 'Eggs' BINARY
@ATTRIBUTE 'Chill' BINARY
@ATTRIBUTE 'Chopped Chillies' BINARY
@ATTRIBUTE 'Jalapenos' BINARY
@ATTRIBUTE 'Ketchup' BINARY
@ATTRIBUTE 'Mustard' BINARY
@ATTRIBUTE 'Ranch' BINARY
@ATTRIBUTE 'Mayo' BINARY
@ATTRIBUTE 'Relish' BINARY
@ATTRIBUTE 'Honey Mustard' BINARY
@ATTRIBUTE 'BBQ Sauce' BINARY
@ATTRIBUTE 'Hot Sauce' BINARY
@ATTRIBUTE 'Thousand island dressing' BINARY
@ATTRIBUTE 'Aioli' BINARY
@ATTRIBUTE 'Chipotle sauce' BINARY
@ATTRIBUTE 'Honey truffles' BINARY
@ATTRIBUTE 'Potato chips' BINARY
@ATTRIBUTE 'Spicy mustard' BINARY
@ATTRIBUTE 'A1 Sauce' BINARY

@DATA
1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
